epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,5570.05,1.00986,0.69699,1.20396,0.79099,0.56164,0.69636,0.46537,0.9789,1.0775,1.07398,0.0017624,0.0017624,0.0017624
74,5644.56,0.99132,0.88752,1.18368,0.81029,0.87763,0.8817,0.62686,0.77511,1.17213,0.89395,0.0017591,0.0017591,0.0017591
75,5719.15,1.0264,0.70961,1.21396,0.86446,0.78082,0.79747,0.53436,0.88441,0.87997,0.95784,0.0017558,0.0017558,0.0017558
76,5793.18,1.02586,0.70452,1.20795,0.86254,0.72603,0.80261,0.57155,0.79558,0.91408,0.91818,0.0017525,0.0017525,0.0017525
77,5867.9,1.00962,0.67946,1.17746,0.80439,0.84503,0.8477,0.58231,0.88142,0.93538,0.92815,0.0017492,0.0017492,0.0017492
78,5941.93,0.99493,0.67874,1.20145,0.83689,0.75342,0.84016,0.56144,0.81942,2.22337,0.94162,0.0017459,0.0017459,0.0017459
79,6015.74,1.00994,0.66623,1.20714,0.80847,0.63611,0.7015,0.51588,0.82839,1.48171,0.99011,0.0017426,0.0017426,0.0017426
80,6090.21,0.9998,0.69924,1.21769,0.74268,0.67215,0.79581,0.55478,0.84039,1.04336,0.99474,0.0017393,0.0017393,0.0017393
81,6164.08,1.0322,0.70382,1.20829,0.88654,0.79452,0.84066,0.57566,0.8995,0.95611,0.96681,0.001736,0.001736,0.001736
82,6237.99,1.01017,0.71585,1.19623,0.82788,0.71233,0.77338,0.53398,0.92962,1.16081,0.97698,0.0017327,0.0017327,0.0017327
83,6312.91,0.98999,0.68085,1.18614,0.74803,0.72603,0.73584,0.48777,0.95972,1.03028,1.01676,0.0017294,0.0017294,0.0017294
84,6387.3,1.00065,0.72556,1.18463,0.65183,0.63014,0.67416,0.40272,1.07045,2.32281,1.12945,0.0017261,0.0017261,0.0017261
85,6461.62,1.00171,0.70237,1.2083,0.78792,0.75342,0.78972,0.4954,0.90648,1.13545,1.04007,0.0017228,0.0017228,0.0017228
86,6535.57,0.98852,0.66934,1.20445,0.82807,0.85776,0.87374,0.60506,0.84307,0.96777,0.94647,0.0017195,0.0017195,0.0017195
87,6609.58,0.98922,0.68194,1.1854,0.76596,0.76218,0.74594,0.48822,0.93576,1.12796,1.00884,0.0017162,0.0017162,0.0017162
88,6683.69,0.9909,0.70273,1.18981,0.84396,0.74094,0.78423,0.56269,0.95216,1.18429,1.02818,0.0017129,0.0017129,0.0017129
89,6757.66,1.00218,0.6791,1.20701,0.87453,0.76712,0.83714,0.6155,0.81024,1.00692,0.92245,0.0017096,0.0017096,0.0017096
90,6831.38,0.95272,0.65113,1.16426,0.88017,0.7044,0.801,0.51666,0.97246,0.95574,0.9779,0.0017063,0.0017063,0.0017063
91,6905.46,0.99275,0.69863,1.19206,0.85209,0.68493,0.77188,0.43778,0.96673,1.22047,0.99702,0.001703,0.001703,0.001703
92,6979.43,0.98924,0.68238,1.19112,0.78108,0.87979,0.8643,0.60894,0.80802,1.9748,0.90189,0.0016997,0.0016997,0.0016997
93,7053.74,0.96826,0.66503,1.18486,0.77315,0.79452,0.81758,0.559,0.81654,1.12472,0.93527,0.0016964,0.0016964,0.0016964
94,7128.85,1.01277,0.69694,1.22031,0.75886,0.79452,0.80733,0.5325,0.84997,1.18112,0.96025,0.0016931,0.0016931,0.0016931
95,7202.85,0.95887,0.64937,1.17545,0.82835,0.85942,0.88288,0.5971,0.87402,1.2131,0.95014,0.0016898,0.0016898,0.0016898
96,7276.74,0.97181,0.66104,1.18979,0.90634,0.64384,0.82299,0.53552,0.93306,0.93436,1.02893,0.0016865,0.0016865,0.0016865
97,7350.74,0.95215,0.65292,1.16461,0.9012,0.76712,0.82506,0.52217,0.90081,0.90658,0.99347,0.0016832,0.0016832,0.0016832
98,7425.02,0.95614,0.67062,1.16947,0.89456,0.73973,0.81316,0.54003,0.92159,1.38073,0.97789,0.0016799,0.0016799,0.0016799
99,7499.55,0.94401,0.68853,1.17322,0.76213,0.73973,0.75884,0.5228,0.83962,1.20045,0.90663,0.0016766,0.0016766,0.0016766
100,7573.69,0.97637,0.65874,1.17433,0.81965,0.69863,0.75341,0.54102,0.85554,1.17537,0.93968,0.0016733,0.0016733,0.0016733
101,7647.98,0.96074,0.65877,1.16877,0.81261,0.82192,0.83014,0.58705,0.84836,0.97327,0.9401,0.00167,0.00167,0.00167
102,7722.14,0.93632,0.63848,1.15992,0.89412,0.69414,0.77807,0.55899,0.78808,1.02914,0.92731,0.0016667,0.0016667,0.0016667
103,7797.65,0.9649,0.66692,1.17738,0.8726,0.82192,0.86533,0.63435,0.7904,0.90859,0.88627,0.0016634,0.0016634,0.0016634
104,7872.12,0.96621,0.66935,1.20056,0.89227,0.80822,0.83869,0.60843,0.80035,0.80812,0.90775,0.0016601,0.0016601,0.0016601
105,7947.07,0.93305,0.64879,1.17223,0.82827,0.7268,0.83703,0.55754,0.90872,0.90497,0.97968,0.0016568,0.0016568,0.0016568
106,8021.33,0.96135,0.63982,1.17344,0.82649,0.45683,0.60096,0.41211,0.90852,1.16126,0.98652,0.0016535,0.0016535,0.0016535
107,8095.84,0.93578,0.66695,1.16416,0.68679,0.65753,0.6811,0.48018,0.83491,1.42892,0.94944,0.0016502,0.0016502,0.0016502
108,8170.31,0.93758,0.66348,1.17637,0.8248,0.71233,0.81052,0.55526,0.85505,1.03331,0.97223,0.0016469,0.0016469,0.0016469
109,8244.29,0.91965,0.63868,1.14397,0.82044,0.80822,0.81305,0.54856,0.84342,1.04799,0.95489,0.0016436,0.0016436,0.0016436
110,8318.71,0.92904,0.62965,1.15016,0.79673,0.75171,0.7592,0.52237,0.87382,1.22756,0.96253,0.0016403,0.0016403,0.0016403
111,8392.85,0.90995,0.61315,1.14079,0.83445,0.76712,0.7597,0.54985,0.80572,1.05922,0.93693,0.001637,0.001637,0.001637
112,8467.26,0.88601,0.60939,1.1215,0.83393,0.80822,0.83304,0.60706,0.86819,0.82062,1.0416,0.0016337,0.0016337,0.0016337
113,8541.45,0.91163,0.64034,1.14985,0.8291,0.73973,0.77914,0.60808,0.83383,1.02203,1.03538,0.0016304,0.0016304,0.0016304
114,8616.27,0.93982,0.67412,1.17389,0.81365,0.68493,0.77588,0.55912,0.86643,1.03888,1.0415,0.0016271,0.0016271,0.0016271
115,8690.79,0.94885,0.65788,1.16531,0.87346,0.63014,0.76038,0.46495,1.01497,1.16323,1.03303,0.0016238,0.0016238,0.0016238
116,8774.8,0.91672,0.65229,1.15886,0.80817,0.75027,0.75762,0.5377,0.79475,1.09586,0.95079,0.0016205,0.0016205,0.0016205
117,8855.01,0.93914,0.63112,1.15689,0.7782,0.64384,0.658,0.4596,0.86469,1.65923,1.01435,0.0016172,0.0016172,0.0016172
